ReflexAgent,1,capsuleClassic,-433.57142857142856,9.624995882548984e-05
ReflexAgent,1,contestClassic,31.571428571428573,0.00010894730259412199
ReflexAgent,1,mediumClassic,14.0,0.00011112257037931086
ReflexAgent,1,minimaxClassic,370.42857142857144,7.912274953481313e-05
ReflexAgent,1,openClassic,603.5714285714286,0.00015600274710074363
ReflexAgent,1,originalClassic,232.57142857142858,0.0001438988899092119
ReflexAgent,1,smallClassic,-14.285714285714286,0.00011166163853236607
ReflexAgent,1,testClassic,520.8571428571429,9.772167113668101e-05
ReflexAgent,1,trappedClassic,-501.57142857142856,8.130073547363281e-05
ReflexAgent,1,trickyClassic,-132.28571428571428,0.0001238791965970806
BetterAgent,1,capsuleClassic,14.0,0.0003155722265194287
BetterAgent,1,contestClassic,1129.5714285714287,0.000346179578729351
BetterAgent,1,mediumClassic,797.0,0.000386246822821599
BetterAgent,1,minimaxClassic,510.2857142857143,0.00020459820242489085
BetterAgent,1,openClassic,955.0,0.0005102810866239147
BetterAgent,1,originalClassic,1510.0,0.0005896600535871453
BetterAgent,1,smallClassic,919.0,0.0003485952294853774
BetterAgent,1,testClassic,517.1428571428571,0.0002412779764695601
BetterAgent,1,trappedClassic,532.0,0.0001955160072871617
BetterAgent,1,trickyClassic,856.7142857142857,0.0004267094506771163
